SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
PI;GILBUêS;VEREADOR;RAILVAN BRAND«O FIGUEREDO;RAILVAN;PI;03/04/1978;ELEITO POR QP
SP;JUNDIA÷;VEREADOR;MARIANA CERGOLI JANEIRO;MARIANA JANEIRO;SP;25/08/1991;ELEITO POR QP
SC;MARAVILHA;VEREADOR;SERGIO BOURSCHEID;SERGIO BOURSCHEID;SC;17/07/1960;ELEITO POR QP
SP;MONTEIRO LOBATO;VEREADOR;CARLOS RENATO DATTI PRINCE;CARLOS RENATO;SP;25/03/2002;ELEITO POR QP
PR;CAMPO MAGRO;VEREADOR;RONES ORLANDO RIBAS MACHADO;RONES RIBAS;PR;04/01/1970;ELEITO POR QP
PR;MIRADOR;VEREADOR;ITAMIR VELOZO LEAL;PASTOR ITAMIR;PR;22/10/1969;ELEITO POR QP
PR;MIRADOR;VEREADOR;RENATA RODRIGUES BORBA;RENATA;PR;12/11/1979;ELEITO POR QP
SP;GUARARAPES;VEREADOR;RODRIGO FERREIRA DE SOUZA;RODRIGO DIGUIN;SP;23/07/1991;ELEITO POR MêDIA
SP;GUARARAPES;VEREADOR;RODOLFO APARECIDO DA SILVA GODIN;LOCUTOR RODOLFO SILVA;SP;24/09/1987;ELEITO POR QP
AP;SANTANA;VEREADOR;ANGELO NASCIMENTO DOS SANTOS;ANGELO SANTOS;AP;15/09/1980;ELEITO POR MêDIA
SP;TAGUA÷;VEREADOR;KATIANE FARIA ALVES MIRANDA;PASTORA KATIANE;PR;19/12/1994;ELEITO POR MêDIA
RN;S«O BENTO DO TRAIR÷;PREFEITO;RAFAEL DOS SANTOS MATIAS;RAFAEL MATIAS;RN;09/04/1983;ELEITO
BA;BIRITINGA;VEREADOR;MIRIVALDO PEREIRA DOS SANTOS;MIRIVALDO DA SAÈDE;BA;23/09/1984;ELEITO POR MêDIA
BA;CORONEL JO«O Sµ;VEREADOR;KATSON RODRIGO ANDRADE ABREU;KATSON;BA;22/12/1981;ELEITO POR QP
PA;ITAITUBA;VEREADOR;ELISVALDO RIBAMAR SILVA;HELIO DA LIMPEZA;MA;11/04/1979;ELEITO POR QP
MG;DION÷SIO;VEREADOR;WANDER MARIO PEREIRA;WANDER DO SACOL«O;MG;15/08/1975;ELEITO POR QP
MG;DIVINêSIA;VEREADOR;MARINA ALMEIDA DE SOUZA;MARINA ALMEIDA;MG;12/11/1963;ELEITO POR MêDIA
PR;NOVA SANTA ROSA;VEREADOR;MARIA ESTER PHILIPPSEN BAUMANN;PROF ESTER;PR;01/11/1964;ELEITO POR MêDIA
PR;QUATIGUµ;VEREADOR;JOSUê DE PµDUA MELO;Zê VARETA;PR;15/03/1972;ELEITO POR MêDIA
PB;JACARAÈ;VEREADOR;BEN÷CIO FERREIRA LUCAS;BEN÷CIO FERREIRA;PB;17/12/1997;ELEITO POR MêDIA
PR;TIBAGI;VEREADOR;WILSON SILVA JUNIOR;ENFERMEIRO WILSON;SC;21/01/1980;ELEITO POR MêDIA
PE;CAMARAGIBE;VEREADOR;HALAN RICARDO DE LIMA PEDROSA;RICARDO PEDROSA;PE;16/11/1986;ELEITO POR QP
MG;PAINEIRAS;VEREADOR;ALCIDES ANT‚NIO DA CRUZ;TONINHO (BURRO);MG;11/02/1966;ELEITO POR QP
MG;PONTE NOVA;VEREADOR;WELLINGTON SABINO DE OLIVEIRA;NEIM;MG;15/10/1982;ELEITO POR QP
PE;CAMUTANGA;VEREADOR;JESSê BARBOSA DE PONTES;JESSê DE ROMILDO;PE;19/06/1977;ELEITO POR QP
PE;LAGOA DO CARRO;VEREADOR;ALISON ANTONIO DA SILVA NASCIMENTO;ALISON CASSEMIRO;PE;11/05/1991;ELEITO POR MêDIA
SP;PIRACICABA;VEREADOR;VALDIR VIEIRA MARQUES;PARANµ;PR;27/05/1967;ELEITO POR MêDIA
RJ;RIO CLARO;VEREADOR;NILSON RODRIGUES LEMOS;NILS«O;RJ;09/12/1985;ELEITO POR QP
SP;PIRACICABA;VEREADOR;ALESSANDRA BELLUCCI;ALESSANDRA BELLUCCI PROTETORA;SP;31/03/1974;ELEITO POR QP
PE;MOREIL∂NDIA;VEREADOR;MARIA HEDUARDA OLIVEIRA FERREIRA;HEDUARDA OLIVEIRA;CE;08/11/2001;ELEITO POR MêDIA
SP;PIRASSUNUNGA;VEREADOR;AIDANO APARECIDO DE SOUZA;DU DA FARMACIA;SP;14/09/1967;ELEITO POR QP
PE;POMBOS;VEREADOR;JOSE AGLAILSON LINO;AGLAILSON DA CARNE;PE;07/11/1969;ELEITO POR QP
RN;ALEXANDRIA;VEREADOR;CIRO VERISSIMO PATRICIO DE FIGUEIREDO;CIRO PATRICIO;RN;06/12/1991;ELEITO POR QP
PA;PALESTINA DO PARµ;VEREADOR;EDIVAN CARNEIRO DE SOUZA;EDIVAN CARNEIRO;PA;13/05/1980;ELEITO POR QP
PE;S«O CAITANO;VEREADOR;MANOEL MIGUEL DOS SANTOS JÈNIOR;JUNIOR DA SAÈDE;PE;02/03/1980;ELEITO POR QP
PE;S«O VICENTE FêRRER;VEREADOR;ALEXSANDRO DA CUNHA CAVALCANTI;SANDRO DA UVA;PE;02/01/1987;ELEITO POR QP
PA;PARAGOMINAS;VEREADOR;MOISêS MOREIRA LEIT«O;MOISêS LEIT«O;PA;18/11/1988;ELEITO POR QP
PI;COCAL;VEREADOR;ITALO DE SENA MONÄ«O;ITALO MONÄ«O;PI;04/01/1984;ELEITO POR QP
MG;S«O TIAGO;VEREADOR;JOSE VANDERLEI CARDOSO;VANDERLEI CARDOSO;MG;06/09/1971;ELEITO POR QP
RS;AJURICABA;VEREADOR;VALDIR ROMEO VOLLMER;LêCO;RS;23/10/1967;ELEITO POR MêDIA
PB;AREIA DE BARAÈNAS;VEREADOR;PEDRO FREITAS NETO;PEDRO NETO;PB;10/06/1979;ELEITO POR MêDIA
PB;CAMALAÈ;VEREADOR;ANTONIO BEZERRA DA SILVA;BEZERR«O;PB;27/06/1968;ELEITO POR MêDIA
PR;BARRA DO JACARê;VEREADOR;CLAUDIO CEZAR MERLO;KAKµ;PR;25/11/1978;ELEITO POR QP
PR;ESPIG«O ALTO DO IGUAÄU;VEREADOR;MARCIO FURMAN;MARCIO FURMAN;PR;05/08/1984;ELEITO POR QP
PI;CURRALINHOS;VEREADOR;LUCIVALDO DE SOUSA SANTOS;LUCIVALDO MARIANO;PI;23/06/1988;ELEITO POR QP
RS;CHARQUEADAS;VEREADOR;ADRIANO ALVES;ALEM«O ADRIANO;RS;22/02/1969;ELEITO POR QP
PR;JAPIRA;VEREADOR;LAURO APARECIDO DE CARVALHO;LAURO DA SAÈDE;PR;13/02/1966;ELEITO POR MêDIA
RS;GUARANI DAS MISSÂES;VEREADOR;LUIZ ANTONIO KAPRON;LUIZ ANTONIO KAPRON TONHO;RS;29/05/1989;ELEITO POR QP
RS;GUARANI DAS MISSÂES;VEREADOR;ARSENIO RENATO PALINSKI;PALINSKI;RS;09/06/1974;ELEITO POR QP
MG;UBERL∂NDIA;VEREADOR;LIA EUNICE VALECHI DA SILVA;DELEGADA LIA VALECHI;MG;26/03/1982;ELEITO POR MêDIA
RS;ITACURUBI;VEREADOR;JOSê FRANCISCO MACHADO DA SILVA;CASTELO;RS;02/12/1962;ELEITO POR QP
PR;MATEL∂NDIA;VEREADOR;NEI JOSE GASPARIN;NEI GASPARIN;PR;12/01/1966;ELEITO POR MêDIA
RS;PEDRO OS‡RIO;VEREADOR;LUIZ HENRIQUE DA CUNHA SOUZA;FININHO SOUZA;RS;28/12/1986;ELEITO POR QP
PR;DOIS VIZINHOS;VEREADOR;SILVANA APARECIDA DAL MOLIN;SIL DA EDUCAÄ«O;PR;19/12/1977;ELEITO POR QP
PR;ESPERANÄA NOVA;VEREADOR;JANAINE VASCONCELOS DE SOUZA;JANAINA DA SAUDE;PR;27/01/1991;ELEITO POR QP
BA;LENÄ‡IS;VEREADOR;ADAULIO LOPES ARAUJO;DUDU DO GµS;BA;24/10/1971;ELEITO POR MêDIA
PR;IMBITUVA;VEREADOR;ADRIANO CELESTE CHEMIM;ADRIANO CHEMIM KAKI;PR;23/08/1969;ELEITO POR QP
BA;LENÄ‡IS;VEREADOR;ADRIANO DE SOUZA CARDOSO;ADRIANO;BA;21/10/1992;ELEITO POR MêDIA
MG;CARBONITA;VEREADOR;ANDRE MACHADO AZEVEDO;BIDÈ;MG;24/01/1980;ELEITO POR QP
PR;LARANJAL;VEREADOR;BRUNA GABRIELLY MARTINS;BRUNA ENFERMEIRA;PR;21/12/2000;ELEITO POR QP
AL;JACU÷PE;VEREADOR;MIRIAN MARIA DOS SANTOS LIMA ALVES;PROFESSORA MIRIAN;AL;13/12/1980;ELEITO POR QP
AL;SATUBA;VEREADOR;TAINµ GOMES NOBRE SILVA;TAINµ NOBRE;AL;02/01/1989;ELEITO POR QP
BA;SANTA CRUZ CABRµLIA;VEREADOR;ERNANDE ROCHA RAMOS;ERNANDE PATAX‡ ;BA;28/04/1992;ELEITO POR QP
MG;CURRAL DE DENTRO;VEREADOR;DANIEL XAVIER DA SILVA;DANIEL DE P“RA;MG;01/12/1991;ELEITO POR QP
PR;MATINHOS;VEREADOR;DORNELLES SILVEIRA LOURENCO;NELINHO LOURENÄO;PR;24/02/1984;ELEITO POR MêDIA
AM;RIO PRETO DA EVA;VEREADOR;DANISON NEGR«O DE OLIVEIRA;DANISON NEGR«O;AM;01/03/1984;ELEITO POR QP
AM;RIO PRETO DA EVA;VEREADOR;RODRIGO GL‡RIA CORTEZ;RODRIGO DO ALTO RIO;AM;03/08/1993;ELEITO POR MêDIA
RS;TERRA DE AREIA;VEREADOR;LUCAS JUSTIN VIEIRA;LUCAS DO DICO;RS;17/02/1988;ELEITO POR QP
RS;TERRA DE AREIA;VEREADOR;MANOEL PEDRO DE ANDRADE;LELO ANDRADE;RS;26/07/1955;ELEITO POR QP
AM;SANTO ANT‚NIO DO IÄµ;VEREADOR;CLAILTON RABELO NASCIMENTO;CAIO;AM;08/02/1961;ELEITO POR QP
BA;XIQUE-XIQUE;VEREADOR;MIRLAM DE OLIVEIRA SAMPAIO;MIRLAM OLIVEIRA;BA;07/10/1967;ELEITO POR QP
CE;CATARINA;VEREADOR;NAIRA FURTADO DE OLIVEIRA;NAIRA;CE;20/07/1999;ELEITO POR QP
CE;MAURITI;VEREADOR;TEOFILO JOAQUIM DO NASCIMENTO NETO;TE‡FILO NETO;CE;18/12/1989;ELEITO POR QP
MG;JEQUITA÷;VEREADOR;FLµVIO FRANK PINTO;FRANK;MG;22/09/1979;ELEITO POR QP
MG;JEQUITA÷;VEREADOR;FLµVIO PEREIRA DA SILVA;FLAV«O;MG;05/06/1980;ELEITO POR QP
CE;MOMBAÄA;VEREADOR;ANTONIO LUCAS MOREIRA SIQUEIRA;LUCAS ALMEIDA;CE;14/06/1990;ELEITO POR QP
MG;LONTRA;VEREADOR;JEAN GONÄALVES DE ALMEIDA;JEAN DO MAZIM;MG;18/01/1989;ELEITO POR QP
MG;CARRANCAS;VEREADOR;MARCELO DOS REIS;MARCELAO;MG;05/08/1974;ELEITO POR QP
MG;CARRANCAS;VEREADOR;WALFREDO MAXIMIANO DA SILVA;WALFREDO CAXAMBU;MG;02/11/1967;ELEITO POR QP
MG;CONSELHEIRO PENA;VEREADOR;WACKSON CANDIDO DE OLIVEIRA;WACKSON PRODUTOR RURAL;MG;18/07/1982;ELEITO POR QP
MG;DORES DE CAMPOS;VEREADOR;GUILHERME ALVES DE FREITAS;GUILHERME DO VALTINHO;MG;26/02/1998;ELEITO POR QP
MG;DORES DE CAMPOS;VEREADOR;MARCILIO TADEU TEIXEIRA COTTA;MARCILIO;MG;15/07/1966;ELEITO POR QP
GO;GOIANDIRA;VEREADOR;FLµVIA MARIA SILVA TRIST«O;FLµVIA TRIST«O;GO;06/05/1976;ELEITO POR QP
PR;TEL“MACO BORBA;VEREADOR;KLêCIUS DOS SANTOS SILVA;PROF KLêCIUS;PR;21/10/1980;ELEITO POR MêDIA
PR;TR“S BARRAS DO PARANµ;VEREADOR;PASCUALINO DO NASCIMENTO;PARAGUAI;PR;07/04/1980;ELEITO POR MêDIA
GO;JAUPACI;VEREADOR;ANDERSON BENEDITO DE FREITAS;DERSON FREITAS;GO;19/06/1986;ELEITO POR QP
MG;PARACATU;VEREADOR;CANDIDO LOPES FERREIRA;CANDINHO DO POVO;MG;30/07/1982;ELEITO POR MêDIA
GO;SANTO ANT‚NIO DA BARRA;VEREADOR;LUCAS BRENNO MEDEIROS SOUZA;LUCAS TEVEZ;GO;11/10/1990;ELEITO POR QP
MA;ITAIPAVA DO GRAJAÈ;VEREADOR;VALDIR AMORIM DA SILVA;VALDIR DO COCO;MA;14/09/1963;ELEITO POR MêDIA
MA;TUT‡IA;VEREADOR;FRANCISCO PIMENTEL DINIZ NETO;NETO PIMENTEL;MA;15/09/1988;ELEITO POR QP
MG;SANTA LUZIA;VEREADOR;GLAYSON JOHNNY GONCALVES COELHO;GLAYSON JOHNNY;MG;25/05/1968;ELEITO POR MêDIA
MG;ALBERTINA;VEREADOR;TARCIZO LUIZ;TARCIZO DO GETULIO;MG;24/06/1980;ELEITO POR QP
MG;S«O JO«O EVANGELISTA;VEREADOR;EDNILSON RODRIGUES DE SOUSA;N‚ ADVOGADO;MG;04/07/1984;ELEITO POR QP
MG;SOLEDADE DE MINAS;VEREADOR;REINALDO DOS SANTOS;NALDO REINALDO;MG;04/05/1965;ELEITO POR MêDIA
RN;ANT‚NIO MARTINS;VEREADOR;IRANDIR NUNES DE OLIVEIRA;BI‚;RN;18/08/1968;ELEITO POR QP
SC;BELMONTE;VEREADOR;CLEIDIR ALESSIO;CLEIDIR ALESSIO;SC;08/11/1997;ELEITO POR QP
MG;VµRZEA DA PALMA;VEREADOR;RAIMUNDO RODRIGUES PEREIRA;RAIMUNDO DA RAIFER;MG;28/10/1976;ELEITO POR QP
SC;CAIBI;VEREADOR;GUSTAVO JUNIOR GANDOLFI;GUSTAVO JUNIOR GANDOLFI;SC;15/02/2002;ELEITO POR QP
SC;FORMOSA DO SUL;VEREADOR;AIMAR EBERLE BIANCHETTI;AIMAR BIANCHETTI;SC;16/02/2001;ELEITO POR QP
MS;JARDIM;VEREADOR;JAIME MEDEIROS ECHEVERRIA;JAIME ECHEVERRIA;MS;09/07/1972;ELEITO POR QP
MS;RIO VERDE DE MATO GROSSO;VEREADOR;AMAURI OLARTECHEA;AMAURI CARECA;MS;22/10/1983;ELEITO POR MêDIA
MS;RIO VERDE DE MATO GROSSO;VEREADOR;NIVALDO HENRIQUE PEREIRA DE ALMEIDA;NIVALDINHO FILHO;MS;25/02/2002;ELEITO POR QP
MT;S«O JOSê DO POVO;VEREADOR;PAULO JÈNIO FERREIRA AMORIM;JUNIN DA SORVETERIA;MT;17/03/2001;ELEITO POR QP
SC;S«O JOSê DO CEDRO;VEREADOR;MAURO WEBER;PROFESSOR MAURO;SC;14/10/1981;ELEITO POR QP
MT;CUIABµ;VEREADOR;ADEVAIR BATISTA CABRAL;ADEVAIR CABRAL;MT;16/08/1965;ELEITO POR QP
TO;CHAPADA DE AREIA;VEREADOR;ALBERINO DIAS DA SILVA NETO;NEGUIM PIQUI;TO;13/10/1982;ELEITO POR QP
SP;BOA ESPERANÄA DO SUL;VEREADOR;JURACI APARECIDO COVO;JORA COVO;SP;28/05/1968;ELEITO POR QP
SP;CORUMBATA÷;VEREADOR;LUAN FELIPE BERBEL;LUAN BERBEL;SP;26/03/1997;ELEITO POR MêDIA
RS;ALEGRETE;VEREADOR;GILMAR DE LIMA MARTINS;GILMAR MARTINS;RS;21/12/1962;ELEITO POR MêDIA
SP;PORTO FERREIRA;PREFEITO;ANDRE LUIS ANCHAO BRAGA;ANDRE BRAGA;SP;14/02/1967;ELEITO
SP;UCHOA;PREFEITO;JOSê CLAUDIO MARTINS;CLAUDIO MARTINS;SP;11/04/1960;ELEITO
AL;TRAIPU;VEREADOR;CARLOS MOURA DE SOUZA;GALEGO DA MUMBAÄA;AL;14/05/1978;ELEITO POR QP
AL;TRAIPU;VEREADOR;ALO÷ZIO VIEIRA DE MELO JUNIOR;JUNIOR DA CAPIVARA;AL;14/02/1976;ELEITO POR QP
MT;NOVA BRASIL∂NDIA;VEREADOR;JO«O VITOR XAVIER DOS ANJOS;JO«O VITOR;MT;25/05/1998;ELEITO POR MêDIA
SP;CRAVINHOS;VEREADOR;MARCO AURELIO PEREIRA LOPES;MINDUIM ELETRICISTA;SP;01/09/1970;ELEITO POR QP
PI;BENEDITINOS;PREFEITO;TALLES GUSTAVO MARQUES RODRIGUES;DR. TALLES;PI;17/12/1978;ELEITO
AM;MANAUS;VEREADOR;JO«O KENNEDY DE LIMA MARQUES;KENNEDY MARQUES PROTETOR;AM;06/08/1965;ELEITO POR QP
SP;JOSê BONIFµCIO;VEREADOR;RAFAEL CLAUDEMIRO NIZATO;RAFINHA DO BAR;SP;01/03/1976;ELEITO POR MêDIA
MG;LUISBURGO;PREFEITO;ALAIR FIGUEIREDO DE ASSUNÄ«O JUNIOR;JUNINHO MOITA;MG;13/08/1975;ELEITO
SP;MONTE CASTELO;VEREADOR;PAULO APARECIDO MAIA;PAULINHO MAIA;SP;12/06/1967;ELEITO POR QP
AL;MATA GRANDE;VEREADOR;MAEDSON SANTOS BATALHA DA SILVA;MAEDSON;AL;25/08/1991;ELEITO POR QP
CE;NOVA RUSSAS;VEREADOR;RAIMUNDO FRANCISCO PEREIRA DE OLIVEIRA;RAIMUNDINHO CORUJA;CE;20/06/1980;ELEITO POR QP
AM;BARREIRINHA;VEREADOR;MARIA MARGARETE DE MELO CARNEIRO;MARGARETE CARNEIRO;AM;13/04/1958;ELEITO POR QP
CE;PACUJµ;VEREADOR;MARIA MARLI MELO RODRIGUES;MARLI MELO;CE;03/05/1978;ELEITO POR MêDIA
BA;ARACATU;VEREADOR;SILVANE ROCHA DOS SANTOS;SILVANE;BA;24/06/1982;ELEITO POR QP
AM;PRESIDENTE FIGUEIREDO;VEREADOR;JULIANA SANTOS DE CAMPOS COUTINHO;JUH CAMPOS;AM;16/04/1991;ELEITO POR MêDIA
ES;PRESIDENTE KENNEDY;VEREADOR;JORGE DE ALMEIDA BITTENCOURT;JORGE CANCELAS;ES;15/07/1962;ELEITO POR QP
GO;AMORIN‡POLIS;VEREADOR;VANDERLEI FERREIRA DA SILVA;DELEI DORIL;GO;15/05/1982;ELEITO POR QP
SP;SANTA GERTRUDES;VEREADOR;WILLIAN JOSE BENTO;WILLIAN BENTO;SP;05/06/1985;ELEITO POR QP
GO;BRAZABRANTES;VEREADOR;LUIZ CARLOS DE OLIVEIRA;LUIZIM DO ALAOR;GO;24/08/1968;ELEITO POR MêDIA
BA;GUANAMBI;VEREADOR;EPONINA DE AZEVEDO GOMES;EPONINA P‡;BA;20/06/1950;ELEITO POR MêDIA
BA;IUIU;VEREADOR;JOAO ANTONIO MENDES DE SOUZA;TONY PANCAD«O;BA;28/06/1986;ELEITO POR MêDIA
BA;ALAGOINHAS;VEREADOR;DJALMA BISPO DOS SANTOS;DJALMA SANTOS;BA;22/05/1959;ELEITO POR QP
PR;PêROLA D'OESTE;VEREADOR;CLAUDIA MARILEI RODRIGUES ALFLEN;CLAUDIA;PR;02/05/1974;ELEITO POR QP
GO;ITUMBIARA;VEREADOR;AILTON PEDRO DA COSTA;PASTOR AILTON;GO;19/01/1976;ELEITO POR QP
PR;S«O PEDRO DO IGUAÄU;VEREADOR;ALFEO ANTONIO ZANETI;FEO;PR;24/02/1965;ELEITO POR QP
TO;FORMOSO DO ARAGUAIA;VEREADOR;GILVAN MILHOMEM DOS SANTOS;ENFERMEIRO GILVAN MILHOMEM;TO;16/11/1974;ELEITO POR QP
SP;TORRE DE PEDRA;VEREADOR;WAGNER NUNES PEREIRA;WAGNER NUNES;SP;25/04/1961;ELEITO POR QP
TO;ABREUL∂NDIA;VEREADOR;CELIV∂NIA DE ARAÈJO NEVES;CELIV∂NIA;BA;20/09/1974;ELEITO POR QP
TO;PALMEIRANTE;VEREADOR;IRANILTON PERES DE ARAÈJO;NEGO DO MOTA;TO;25/09/1980;ELEITO POR MêDIA
BA;LAJEDO DO TABOCAL;VEREADOR;ELMO SANTANA DOS SANTOS;ELMO SANTANA;BA;10/08/1977;ELEITO POR QP
RJ;PINHEIRAL;VEREADOR;MARIO ARTHUR FRANCO GARCIA;MARIO ARTHUR;RJ;20/06/1989;ELEITO POR QP
MA;PRESIDENTE DUTRA;VEREADOR;JOSê AIRTON FERNANDES;AIRTON NUTRIA;MA;14/01/1959;ELEITO POR QP
MA;PRESIDENTE DUTRA;VEREADOR;FRANCISCO MAURO DOS SANTOS SOUSA;MANO DO PINGO DE GENTE;MA;21/11/1981;ELEITO POR MêDIA
PR;SANTO INµCIO;VEREADOR;ROSE MIRIAN OLIVEIRA DA SILVA;ROSE;PR;09/11/1974;ELEITO POR QP
RN;EXTREMOZ;VEREADOR;MICHELE FERNANDA NASCIMENTO DE G‡IS;MICHELE DE G‡IS;RN;10/02/1984;ELEITO POR MêDIA
PB;COREMAS;VEREADOR;JOSê LAEDSON ANDRADE SILVA;DR LAEDSON;PB;18/05/1975;ELEITO POR QP
RN;LAGOA NOVA;VEREADOR;FAGNER ROBSON GUIMAR«ES;FAGUIM GUIMAR«ES;RN;30/08/1981;ELEITO POR QP
RN;LAGOA D'ANTA;VEREADOR;JONAS VIDAL SOUTO;JONAS VIDAL;RN;12/09/1983;ELEITO POR QP
PB;SERRA BRANCA;VEREADOR;TALLES CHATEAUBRIAND DE MACEDO;TALLES MAC“DO;PB;15/02/1990;ELEITO POR MêDIA
RN;TENENTE LAURENTINO CRUZ;VEREADOR;REGIANE MAC“DO DE ARAÈJO;REGIANE MAC“DO;RN;08/08/2002;ELEITO POR MêDIA
PE;CUPIRA;VEREADOR;TAINE EDUARDA DOS SANTOS;TAINE EDUARDA;PE;10/05/2002;ELEITO POR QP
RS;BARRA DO GUARITA;VEREADOR;VILMAR DA SILVA RIBEIRO;VILMAR;RS;27/07/1984;ELEITO POR QP
SC;CAMPOS NOVOS;VEREADOR;ALDOCIR MICHELOTTO;CHIC«O;SC;31/01/1973;ELEITO POR MêDIA
SC;GUARUJµ DO SUL;VEREADOR;CLAUDEMIR ANT‚NIO AMANN;CEGUINHO;SC;15/11/1971;ELEITO POR QP
RO;OURO PRETO DO OESTE;VEREADOR;JACKSON CORREA PASSOS;JACK PASSOS;RO;20/08/1977;ELEITO POR MêDIA
SC;LEOBERTO LEAL;VEREADOR;PEDRO ANITO PRIM;PEDRO PRIM;SC;08/12/1958;ELEITO POR MêDIA
RS;INDEPEND“NCIA;VEREADOR;JOSê DA SILVA RICHTER;RUSSO;RS;19/03/1965;ELEITO POR QP
SC;S«O LUDGERO;VEREADOR;MARIA MARLENE SCHLICKMANN;MARIA MARLENE;SC;11/06/1964;ELEITO POR QP
RS;DOIS IRM«OS DAS MISSÂES;VEREADOR;VALDECIR CAMARGO GULARTE;VALDECIR;RS;21/09/1989;ELEITO POR MêDIA
SC;S«O LUDGERO;VEREADOR;VITUS BECKER NETO;PROFESSOR VITINHO;SC;31/01/1978;ELEITO POR QP
RS;HERVAL;VEREADOR;JO«O BOSCO SAIS DE PAIVA;JO«O BOSCO;RS;02/07/1954;ELEITO POR QP
RS;LAGOA BONITA DO SUL;VEREADOR;GILSEMAR HONNEF;GISE;RS;14/09/1979;ELEITO POR QP
RS;LAGOA BONITA DO SUL;VEREADOR;VINICIUS ALFREDO NEU;VINICIUS NEU;RS;20/08/2001;ELEITO POR MêDIA
PI;MONSENHOR HIP‡LITO;VEREADOR;FABIO BEZERRA ALVES;FABIO BEZERRA;PI;30/03/1986;ELEITO POR QP
CE;CARIÈS;PREFEITO;ANT‚NIO WILAMAR PALACIO DE OLIVEIRA;WILAMAR PALACIO;CE;04/11/1965;ELEITO
PI;SANTA CRUZ DO PIAU÷;VEREADOR;DIOGO RODRIGUES LEONIDAS;DR. DIOGO;PI;16/04/1986;ELEITO POR QP
SC;URUBICI;VEREADOR;ODAILTO PACHECO DE OLIVEIRA;TITINHO;SC;20/03/1976;ELEITO POR QP
GO;ITAGUARU;PREFEITO;JOAQUIM FERNANDO MOREIRA ARAÈJO;FERNANDO ARAÈJO;GO;15/11/1970;ELEITO
RS;NOVO TIRADENTES;PREFEITO;LUIZ CARLOS BENEDETTE;CAIO;RS;07/10/1980;ELEITO
PE;CORT“S;PREFEITO;MARIA DE FATIMA CYSNEIROS SAMPAIO BORBA;FATIMA BORBA;PE;28/05/1954;ELEITO
PA;AVEIRO;PREFEITO;JO«O GERDAL PAIVA DINIZ JÈNIOR;GERDAL;PA;10/10/1974;ELEITO
SE;NOSSA SENHORA DO SOCORRO;VEREADOR;CHARLYS JOSE DA SILVA;CHARLYS DE GEL;BA;28/02/1978;ELEITO POR QP
BA;MALHADA DE PEDRAS;VEREADOR;ADRIANO PEREIRA SILVA;ADRIANO ENFERMEIRO;BA;10/02/1986;ELEITO POR QP
BA;PINDOBAÄU;VEREADOR;ROBERIO BATISTA FERREIRA;R‡;BA;08/07/1969;ELEITO POR QP
PR;ITAPERUÄU;VEREADOR;REINALDO MOREIRA DOS SANTOS;PARMALAT;PR;29/05/1984;ELEITO POR MêDIA
CE;BARBALHA;VEREADOR;ODAIR JOSê DE MATOS;PROFESSOR ODAIR MATOS;CE;12/03/1973;ELEITO POR QP
CE;BARBALHA;VEREADOR;MATHEUS CLEBER SARAIVA GONÄALVES;MATHEUS SARAIVA;SP;04/08/1998;ELEITO POR QP
RS;S«O JOSê DO HERVAL;VEREADOR;TEREZINHA BRIDI DOS SANTOS;TEREZINHA;RS;23/10/1965;ELEITO POR MêDIA
RS;SAPUCAIA DO SUL;VEREADOR;CLEBER RACHEL;CLEBER ALEM«O;RS;02/09/1985;ELEITO POR QP
RS;TEUT‚NIA;VEREADOR;WERNER WIEBUSCH;FIF;RS;29/03/1960;ELEITO POR MêDIA
CE;CANINDê;VEREADOR;FRANCISCO GEOVANE GONCALVES;GEOVANE GONÄALVES;CE;06/12/1983;ELEITO POR QP
RS;VACARIA;VEREADOR;LUCIANO RAMOS;LUCIANO RAMOS;RS;05/09/1976;ELEITO POR QP
RS;VACARIA;VEREADOR;RICARDO DA SILVEIRA PANASSOL;RICARDO PANASSOL MONTANHA;RS;13/08/1979;ELEITO POR MêDIA
RN;S«O MIGUEL;PREFEITO;LEANDRO MICHEL DO REGO LIMA;DR. LEANDRO;RN;12/08/1979;ELEITO
CE;PEDRA BRANCA;VEREADOR;ALEX NOBRE NOGUEIRA;DR. ALEX;SP;21/09/1986;ELEITO POR QP
CE;PEDRA BRANCA;VEREADOR;JOSEFA DO SOCORRO DE MATOS;JOSEFA MATOS;CE;21/04/1972;ELEITO POR QP
MG;CAPIT«O ENêAS;VEREADOR;TASSIO DUTRA ARAUJO;TASSIO DUTRA;MG;05/03/1983;ELEITO POR MêDIA
MG;CARA÷;VEREADOR;PAULO HENRIQUE DA SILVA;BOCA PRETA;MG;16/02/1987;ELEITO POR QP
MG;CARMO DO CAJURU;VEREADOR;JO«O CLAUDIO MADUREIRA LACERDA;JO«O LACERDA (CACA);MG;17/07/1978;ELEITO POR MêDIA
SP;IPEÈNA;VEREADOR;ADRIANA RIBEIRO DA SILVA;ADRIANA RIBEIRO;SP;16/01/1978;ELEITO POR MêDIA
CE;FORTALEZA;VEREADOR;PEDRO FERREIRA MESQUITA FILHO;PPCELL;CE;11/04/1983;ELEITO POR MêDIA
