SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
BA;APORµ;VEREADOR;IDARLAN DE SOUZA ARAUJO;IDARLAN ARAUJO;BA;19/12/1989;ELEITO POR QP
CE;BELA CRUZ;VEREADOR;FRANCISCO VALTER ARAUJO NETO;NETIM ADRIMOVEIS;CE;17/12/1990;ELEITO POR QP
MG;SENADOR FIRMINO;VEREADOR;LEANDRO DE OLIVEIRA PINTO;LEANDRO;MG;07/08/1982;ELEITO POR QP
MS;CAMAPU«;VEREADOR;HELIO PEREIRA DE DEUS;HELIO;MS;09/03/1974;ELEITO POR QP
MS;CAMPO GRANDE;VEREADOR;WILSON MANOEL DIAS LANDS;WILSON LANDS;MS;10/08/1984;ELEITO POR QP
MG;TE‡FILO OTONI;VEREADOR;FREDERICO SILVA DA CRUZ;LêO PRETO;MG;11/06/1988;ELEITO POR QP
CE;TIANGUµ;VEREADOR;FERNANDO ALVES DE MENEZES;FERNANDO;CE;01/11/1977;ELEITO POR MêDIA
MS;CAMPO GRANDE;VEREADOR;JUARI LOPES PINTO;PROFESSOR JUARI;MT;23/07/1978;ELEITO POR QP
MS;CAMPO GRANDE;VEREADOR;CLODOILSON DOS SANTOS PIRES;CLODOILSON PIRES;MS;16/10/1965;ELEITO POR QP
ES;VILA PAV«O;VEREADOR;FRANCISCO DE ASSIS CAMPOS;FRANCISCO DE ASSIS ;ES;04/10/1964;ELEITO POR QP
MG;VARGEM GRANDE DO RIO PARDO;VEREADOR;JEAN CARLOS RIBEIRO SOBRINHO;JEAN DE Zê PEZ«O;MG;05/05/2004;ELEITO POR QP
GO;ORIZONA;VEREADOR;OSVALDO PEIXOTO DA SILVA;OSVALDINHO PEIXOTO;GO;08/02/1962;ELEITO POR QP
MA;AMARANTE DO MARANH«O;VEREADOR;SEBASTI«O FELIX DA CUNHA;SEBASTI«O DAS ALVORADAS;MA;20/01/1973;ELEITO POR QP
MT;SAPEZAL;VEREADOR;JOILSON SILVA DE ASSUNÄ«O;JOILSON ENFERMEIRO;MT;20/09/1979;ELEITO POR MêDIA
MA;ESTREITO;VEREADOR;JOSE AMARAL SALVIANO VILAR;AMARAL VILAR;CE;29/11/1967;ELEITO POR MêDIA
TO;PINDORAMA DO TOCANTINS;VEREADOR;DEUZENIR TEIXEIRA SILVA;DEKA;TO;24/09/1982;ELEITO POR MêDIA
PR;TAPIRA;VEREADOR;DEVAIR DOS SANTOS;DEVAIR DA GLEBA QUATRO;PR;03/03/1969;ELEITO POR MêDIA
MA;S÷TIO NOVO;VEREADOR;FILIPE DA SILVA SOUSA;DR FILIPE;MA;29/08/1993;ELEITO POR QP
MA;S÷TIO NOVO;VEREADOR;VALêRIA NOLETO XAVIER DE OLIVEIRA PINHEIRO;VALêRIA NOLETO;PI;17/07/1977;ELEITO POR QP
AL;MARAVILHA;VEREADOR;MURCIO RODRIGUES LEMOS LIMEIRA;MURCIO;AL;05/03/1979;ELEITO POR QP
AL;OLIVENÄA;VEREADOR;GENIVAL DIONISIO BARBOSA NETO;VALZINHO DO JECI;AL;06/05/1992;ELEITO POR QP
AL;ARAPIRACA;VEREADOR;MELQUISEDEC DE OLIVEIRA;MELQUISEDEC;AL;22/05/1968;ELEITO POR MêDIA
AL;ARAPIRACA;VEREADOR;JOSê ALDO OLIVEIRA VEIGA;ALDO VEIGA;AL;31/03/1974;ELEITO POR QP
SC;CURITIBANOS;VEREADOR;UMBELINO ULISSES ORTIZ DE SOUZA;BILO ORTIZ;SC;14/10/1982;ELEITO POR QP
AL;PORTO DE PEDRAS;VEREADOR;JUDITH CORREIA DOS SANTOS;JUDITH CORREIA;AL;06/09/1964;ELEITO POR QP
SC;DESCANSO;VEREADOR;MARLISE LOVATEL;LOVATEL;SC;18/05/1984;ELEITO POR MêDIA
AP;CALÄOENE;VEREADOR;WESLEY ALEX CHUMBER DA SILVA;WESLEY ALEX;PI;18/01/1989;ELEITO POR QP
RS;LIBERATO SALZANO;VEREADOR;DANIEL ZAGOTTO;ZAGOTTO;RS;25/07/1989;ELEITO POR MêDIA
SE;PACATUBA;VEREADOR;JEANDERSON CLEYTON DA ROCHA MARTINS;JEANDERSON MARTINS;PE;18/03/1998;ELEITO POR QP
SE;PACATUBA;VEREADOR;VITOR CARMO PEREIRA DOS SANTOS;VITOR SALAME;SE;13/03/1999;ELEITO POR QP
RS;PAULO BENTO;VEREADOR;LEANDRO ANDRE GRANDO;ANDRE;RS;08/01/1980;ELEITO POR MêDIA
PR;S«O CARLOS DO IVA÷;VEREADOR;MOACIR APARECIDO DA SILVA;MOACIR DO BAR;SP;27/10/1977;ELEITO POR MêDIA
AM;ATALAIA DO NORTE;PREFEITO;DENIS LINDER ROJAS DE PAIVA;DENIS PAIVA;AM;06/02/1975;ELEITO
PR;UNIFLOR;VEREADOR;LAIRTON DOMINGOS RISSO;ITO RIZZO;PR;04/11/1962;ELEITO POR QP
MG;VµRZEA DA PALMA;PREFEITO;RODRIGO AGUIAR DALLA BERNARDINA;RODRIGO DALLA;MG;03/04/1982;ELEITO
PA;GOIANêSIA DO PARµ;PREFEITO;FRANCISCO EDUARDO OLIVEIRA SILVA;RUSSINHO;PI;27/01/1976;ELEITO
SP;BAURU;VEREADOR;JULIO CESAR APARECIDO DE SOUSA;JULIO CESAR;SP;06/06/1981;ELEITO POR MêDIA
BA;URUÄUCA;VEREADOR;REINALDO ALVES DOS SANTOS;BICUDO;BA;14/11/1971;ELEITO POR QP
CE;ACOPIARA;VEREADOR;FRANCISCO SILVA CAVALCANTE;MUNDOCA;CE;17/08/1956;ELEITO POR QP
SP;CHAVANTES;VEREADOR;MICHELE BATISTA DO NASCIMENTO LOPES;MICHELE BATISTA;SP;10/04/1983;ELEITO POR MêDIA
SP;LIMEIRA;VEREADOR;HELDER LUCIO DE OLIVEIRA;HELDER DO TAXI;PR;20/07/1971;ELEITO POR QP
TO;SANDOL∂NDIA;VEREADOR;SIDNEY FONSECA DA CONCEICAO;NEY DO SOM;TO;07/09/1973;ELEITO POR QP
RN;JO«O DIAS;VEREADOR;MARCELO LINHARES DA SILVA;MARCELO LINHARES;SP;19/10/1996;ELEITO POR QP
RJ;MENDES;VEREADOR;ADILSON SOARES MARTINS;ADILSON DA DILêIA;RJ;22/07/1966;ELEITO POR QP
