UF;MUNICÍPIO;CARGO;NOME DO CANDIDATO;NOME NA URNA;DS_SIT_TOT_TURNO
PE;CORTÊS;VEREADOR;CELSO CLEITON SANTOS DA SILVA;CELSO;ELEITO POR QP
BA;CONTENDAS DO SINCORÁ;VEREADOR;JOAO UMBURANAS;JOAO GALINHA;ELEITO POR QP
PI;MIGUEL ALVES;VEREADOR;RUY DGRAN DE ALCANTARA E SILVA;RUY D GRANN;ELEITO POR QP
PI;PAES LANDIM;VEREADOR;VITALINA LACERDA RODRIGUES MARQUES;VITALINA LACERDA;ELEITO POR QP
BA;IGRAPIÚNA;VEREADOR;PAULO RICARDO BONFIM;RICARDO ELETRICISTA;ELEITO POR QP
BA;IGRAPIÚNA;VEREADOR;VALDEK SALES;VALDEK SALES;ELEITO POR QP
PR;CONSELHEIRO MAIRINCK;VEREADOR;LEANDRO HENRIQUE PEDRO;LELE DO POSTO;ELEITO POR QP
PR;ARAPOTI;VEREADOR;ROMANTI EZER PRESTES MOREIRA;ROMANTI MOREIRA;ELEITO POR QP
BA;ILHÉUS;VEREADOR;MANUCLEITON SOUZA MORAES;KÊKO PIZZA;ELEITO POR QP
PR;JUNDIAÍ DO SUL;VEREADOR;DJALMA DE OLIVEIRA;DJALMA DO GÁS;ELEITO POR QP
MG;NEPOMUCENO;VEREADOR;ELDER WANDER DE CARVALHO;EDINHO CORREDOR;ELEITO POR QP
PR;CORONEL DOMINGOS SOARES;VEREADOR;NARA MELO LEÃO;PROFESSORA NARA LEÃO;ELEITO POR QP
BA;ITABERABA;VEREADOR;GERSON ALMEIDA DE JESUS;GERSON ALMEIDA;ELEITO POR QP
RS;SANTO ANTÔNIO DAS MISSÕES;VEREADOR;CRISTIANO DUTRA NUNES;CRISTIANO NUNES;ELEITO POR QP
PR;SÃO JORGE D'OESTE;VEREADOR;ROSANE FATIMA LOTTI;ROSE LOTTI;ELEITO POR QP
MG;BRASILÂNDIA DE MINAS;VEREADOR;LUIS FELIPE SILVA DE ANDRADE;FELIPE ANDRADE;ELEITO POR QP
RS;WESTFALIA;VEREADOR;GILBERTO POTT;GILBERTO POTT;ELEITO POR QP
MG;PEÇANHA;VEREADOR;VANILTON SOARES FERREIRA;TICO;ELEITO POR QP
MG;CAMPOS GERAIS;VEREADOR;MARCOS FRANCISCO DE OLIVEIRA;MARQUINHO DA GELADEIRA;ELEITO POR QP
MG;CARATINGA;VEREADOR;ELZO MARTINS DE FREITAS LOPES;ELZO MARTINS;ELEITO POR QP
MG;CONGONHAS;VEREADOR;IGOR JONAS SOUZA COSTA;IGOR SOUZA COSTA;ELEITO POR QP
MG;RESPLENDOR;VEREADOR;CINTHIA TONANI DE OLIVEIRA AMORIM;CINTHIA TONANI;ELEITO POR QP
MG;SALTO DA DIVISA;VEREADOR;LEOMAR GONÇALVES DOS SANTOS;DINHA;ELEITO POR QP
MG;CARATINGA;VEREADOR;RÔMULO HELENO GUSMAO;RÔMULO GUSMÃO;ELEITO POR QP
MG;SANTANA DO JACARÉ;VEREADOR;ISAAC RIBEIRO DA SILVA;ISAAC CABELEIREIRO;ELEITO POR QP
MG;COQUEIRAL;VEREADOR;GERSI CANDIDO DA SILVA;GERSI DA RECICLAGEM;ELEITO POR QP
MG;CÓRREGO DANTA;VEREADOR;ERNANDO DE ASSIS ROCHA;ERNANDO ROCHA;ELEITO POR QP
MG;SÃO JOÃO DO PACUÍ;VEREADOR;JAIR PEREIRA RAMOS;JAIR DE BETO;ELEITO POR QP
MG;CÓRREGO DO BOM JESUS;VEREADOR;MICHEL JOAO DOS SANTOS;MICHEL DO QUEROSENE;ELEITO POR QP
RJ;SÃO GONÇALO;VEREADOR;BRUNO PORTO DE ALMEIDA;BRUNO PORTO;ELEITO POR QP
RN;BOA SAÚDE;VEREADOR;MARIA ERIDANY AUGUSTO DE MESQUITA;ERIDANY MESQUITA;ELEITO POR QP
MG;JOÃO MONLEVADE;VEREADOR;JOÃO CASSIMIRO DA SILVA;SASSA MISERICÓRDIA;ELEITO POR QP
RN;ENCANTO;VEREADOR;LEANDRO ROBERTO DE LIMA SILVA;LEANDRO ROBERTO;ELEITO POR QP
MS;FIGUEIRÃO;VEREADOR;EDEGAR JOSÉ DE LIMA;EDEGAR LIMA;ELEITO POR QP
MG;JOÃO MONLEVADE;VEREADOR;SINVAL JACINTO DIAS;SINVAL DA LUZITANA;ELEITO POR QP
MS;IVINHEMA;VEREADOR;CLAUDEMIR BATISTA DA ROCHA;CLAUDIO DO RAIO X;ELEITO POR QP
RN;MONTE DAS GAMELEIRAS;VEREADOR;ELIAS JOSÉ EMÍDIO;ELIAS EMÍDIO;ELEITO POR QP
RN;MONTE DAS GAMELEIRAS;VEREADOR;CLÉCIO DE SOUZA;CLÉCIO;ELEITO POR QP
RN;PASSAGEM;VEREADOR;ROBSON SERGIO SILVA DE LIMA;JOCA DE NEVA;ELEITO POR QP
RN;SÃO MIGUEL DO GOSTOSO;VEREADOR;MARIA JOSALETE DA CAMARA CRUZ;IRMÃ LETINHA;ELEITO POR QP
RO;ALTO ALEGRE DOS PARECIS;VEREADOR;VALMIRO GOMES DA SILVA;VALMIR MOTO TAXI;ELEITO POR QP
MG;IBIRITÉ;VEREADOR;FRANCISCO SOARES DE AQUINO NETO;NETO DO SALAO;ELEITO POR QP
MT;LAMBARI D'OESTE;VEREADOR;ADELSON DE JESUS SANTANA;DELSINHO;ELEITO POR QP
MT;NORTELÂNDIA;VEREADOR;LUIZ GARCIA TABORDA;LUIZ GARCIA;ELEITO POR QP
MG;MURIAÉ;VEREADOR;MUNIQUE HELENA DA CUNHA ALVES;MUNIK HELENA DA SAUDE;ELEITO POR QP
MT;PONTE BRANCA;VEREADOR;DANIEL BATISTA MOREIRA;DANIEL MOREIRA;ELEITO POR QP
RS;CAIBATÉ;VEREADOR;GILSE CARME DA SILVA ROCHA;GILSE ROCHA;ELEITO POR QP
MG;MACHACALIS;VEREADOR;PEDRO FERREIRA DE SOUZA;PEDRINHO DE DATIVO;ELEITO POR QP
RS;FAXINAL DO SOTURNO;VEREADOR;PAULO RICARDO MARZARI;PAULÃO;ELEITO POR QP
MG;RIBEIRÃO VERMELHO;VEREADOR;PLINIO CARRIÇO RODRIGUES;PLINIO PLINAÇO;ELEITO POR QP
MG;SANTA BÁRBARA;VEREADOR;WILSON MACHADO DE MELO;PINKA DE INHÔ E D.ANITA;ELEITO POR QP
MG;VIRGOLÂNDIA;VEREADOR;HELIO DE FREITAS BRAGA;HELIO BRAGA;ELEITO POR QP
CE;BELA CRUZ;VEREADOR;CARLOS ALEXANDRE DE PAULO;ALEXANDRE DE PAULO;ELEITO POR QP
MG;SENADOR AMARAL;VEREADOR;JOELSO APARECIDO DE LIMA;DELSO DO AFONSO;ELEITO POR QP
MS;CAMAPUÃ;VEREADOR;PEDRO DIAS PEREIRA;PEDRINHO CABELEIREIRO;ELEITO POR QP
CE;NOVO ORIENTE;VEREADOR;VICENTE COELHO VIDAL;NETO VIDAL;ELEITO POR QP
BA;HELIÓPOLIS;VEREADOR;JOSE CORREIA DA SILVA;DE CORREIA;ELEITO POR QP
ES;MUNIZ FREIRE;VEREADOR;JOSÉ MARIA BERGAMINI;ZÉ MARIA POLICIAL;ELEITO POR QP
MS;CAMPO GRANDE;VEREADOR;FLAVIO PEREIRA MOURA;FLAVIO CABO ALMI;ELEITO POR QP
GO;AMARALINA;VEREADOR;CINTIA APARECIDA ROSA MARTINS;DRA. CINTIA;ELEITO POR QP
GO;CERES;VEREADOR;JULIANO GARCIA ROSA;JULIANO DO TARIM;ELEITO POR QP
MG;VARGEM GRANDE DO RIO PARDO;VEREADOR;GERVALINO MIRANDA DE SOUZA;GERA;ELEITO POR QP
GO;MORRO AGUDO DE GOIÁS;VEREADOR;ESMAR ANTÔNIO DE MAGALHÃES;ESMAR;ELEITO POR QP
MT;ALTA FLORESTA;VEREADOR;OSLEN DIAS DOS SANTOS;TUTI;ELEITO POR QP
MT;ALTA FLORESTA;VEREADOR;DOUGLAS PEREIRA TEIXEIRA DE CARVALHO;DOUGLAS TEIXEIRA;ELEITO POR QP
MT;ALTA FLORESTA;VEREADOR;DARLAN TRINDADE CARVALHO;DARLAN CARVALHO;ELEITO POR QP
BA;ITAPITANGA;VEREADOR;RILDES DO NASCIMENTO MAGALHÃES;RILDES MAGALHÃES;ELEITO POR QP
GO;VICENTINÓPOLIS;VEREADOR;ARILDO AMÂNCIO DE LIMA;ARILDO DA SAÚDE;ELEITO POR QP
MT;SAPEZAL;VEREADOR;MIGUEL HENRIQUE DA SILVA;MIGUELZINHO DA CACORÉ;ELEITO POR QP
PR;SARANDI;VEREADOR;DIONIZIO APARECIDO VIARO;DIONIZIO DA DIOCAR;ELEITO POR QP
RJ;LAJE DO MURIAÉ;VEREADOR;JULIANO BARBOSA VIEIRA;JULIANO;ELEITO POR QP
